z,u,v,θ,u2,v2,ε,uv,u2_sgs,v2_sgs,uv_sgs,u3_res,v3_res,p,σ
-1.8750000000e-01,1.1851384197e-01,-6.3146806225e-02,2.8314344197e+02,1.4769557257e-02,4.3814230156e-03,-4.9986469085e-06,-1.2753316326e-07,4.6628851296e-06,1.6378612188e-06,-1.2753316326e-07,1.9159314745e-03,-3.2627719986e-04,-9.5793523232e-03,3.1250000000e-03
-5.6250000000e-01,9.1924403263e-02,-6.2759911826e-02,2.8314344096e+02,9.1453335862e-03,4.2722800699e-03,-5.6273631803e-06,-2.8206153823e-06,2.1588365794e-06,-9.9696239419e-07,-2.9106963616e-07,9.6614809566e-04,-3.1029123553e-04,-9.6354771958e-03,9.3750000000e-03
-9.3750000000e-01,8.1183237771e-02,-6.2121505739e-02,2.8314343948e+02,7.1798312446e-03,4.1536085217e-03,-2.8421640242e-06,-4.8201714308e-06,1.4244249011e-06,-1.1959447250e-06,-2.8627619146e-07,6.7769708742e-04,-2.9494704977e-04,-9.6611089691e-03,1.5625000000e-02
-1.3125000000e+00,7.2208915735e-02,-6.1519915566e-02,2.8314343781e+02,5.7626748390e-03,4.0485276478e-03,-2.2201544160e-06,-6.8784710309e-06,1.3242689566e-06,-1.1913998755e-06,-3.4242981135e-07,4.9514776472e-04,-2.8182983347e-04,-9.6687641475e-03,2.1875000000e-02
-1.6875000000e+00,6.5451885717e-02,-6.0902274896e-02,2.8314343585e+02,4.7980893341e-03,3.9493122480e-03,-1.7756821975e-06,-8.6166642831e-06,1.3364300603e-06,-1.1243923725e-06,-3.8307462403e-07,3.8156472619e-04,-2.7005309670e-04,-9.6699812627e-03,2.8125000000e-02
-2.0625000000e+00,5.9572511117e-02,-6.0280757744e-02,2.8314343372e+02,4.0415922785e-03,3.8564072520e-03,-1.4872457788e-06,-1.0197000533e-05,1.3321936829e-06,-1.0212628796e-06,-3.9965381747e-07,3.0001751514e-04,-2.5953601617e-04,-9.6689805660e-03,3.4375000000e-02
-2.4375000000e+00,5.4596146027e-02,-5.9652182284e-02,2.8314343136e+02,3.4546269779e-03,3.7682417404e-03,-1.2518800165e-06,-1.1645714072e-05,1.2702685732e-06,-8.8307407660e-07,-3.9167368595e-07,2.4117343445e-04,-2.4999944077e-04,-9.6675360581e-03,4.0625000000e-02
-2.8125000000e+00,5.0197344507e-02,-5.9019595486e-02,2.8314342882e+02,2.9783338681e-03,3.6839390948e-03,-1.0695202327e-06,-1.2992530195e-05,1.1782530810e-06,-7.3276790401e-07,-3.6839465040e-07,1.9659342686e-04,-2.4123917316e-04,-9.6662346086e-03,4.6875000000e-02
-3.1875000000e+00,4.6333919795e-02,-5.8382979866e-02,2.8314342614e+02,2.5907646856e-03,3.6023633194e-03,-9.2044866646e-07,-1.4249386102e-05,1.0688305010e-06,-5.8375075208e-07,-3.3444852879e-07,1.6242237029e-04,-2.3303652346e-04,-9.6652986303e-03,5.3125000000e-02
-3.5625000000e+00,4.2883280157e-02,-5.7744897426e-02,2.8314342330e+02,2.2693477552e-03,3.5230634573e-03,-8.0084992147e-07,-1.5424326839e-05,9.5768350199e-07,-4.4855230630e-07,-2.9700111913e-07,1.3562751903e-04,-2.2527527964e-04,-9.6647431713e-03,5.9375000000e-02
-3.9375000000e+00,3.9799176176e-02,-5.7105446237e-02,2.8314342034e+02,2.0010102044e-03,3.4456120712e-03,-7.0402577555e-07,-1.6521123912e-05,8.5424115575e-07,-3.3404991965e-07,-2.6037916019e-07,1.1434885260e-04,-2.1787517152e-04,-9.6645212987e-03,6.5625000000e-02
-4.3125000000e+00,3.7012653442e-02,-5.6467168475e-02,2.8314341725e+02,1.7740749136e-03,3.3699077806e-03,-6.2529750827e-07,-1.7543267470e-05,7.6361609426e-07,-2.4188875682e-07,-2.2547440300e-07,9.7182777062e-05,-2.1078701775e-04,-9.6645565353e-03,7.1875000000e-02
-4.6875000000e+00,3.4485953647e-02,-5.5828253415e-02,2.8314341410e+02,1.5808544854e-03,3.2954538577e-03,-5.6023656207e-07,-1.8497418308e-05,6.8473083887e-07,-1.6825672738e-07,-1.9259092549e-07,8.3185112235e-05,-2.0393386133e-04,-9.6647544977e-03,7.8125000000e-02
-5.0625000000e+00,3.2178624905e-02,-5.5194272871e-02,2.8314341082e+02,1.4148898486e-03,3.2227350455e-03,-5.0637308942e-07,-1.9396240259e-05,6.1824684382e-07,-1.0906338721e-07,-1.6479373607e-07,7.1644355204e-05,-1.9734184437e-04,-9.6650381869e-03,8.4375000000e-02
-5.4375000000e+00,3.0060352971e-02,-5.4563650845e-02,2.8314340749e+02,1.2713573827e-03,3.1513953214e-03,-4.6105686337e-07,-2.0239371364e-05,5.5993915991e-07,-6.2317683709e-08,-1.4080034024e-07,6.2042411280e-05,-1.9096007679e-04,-9.6653663662e-03,9.0625000000e-02
-5.8125000000e+00,2.8106011648e-02,-5.3936383182e-02,2.8314340403e+02,1.1465221260e-03,3.0813723115e-03,-4.2248167021e-07,-2.1033090140e-05,5.1117788064e-07,-2.7653049429e-08,-1.1971397909e-07,5.3993457830e-05,-1.8477717523e-04,-9.6657010761e-03,9.6875000000e-02
-6.1875000000e+00,2.6299423071e-02,-5.3312761248e-02,2.8314340054e+02,1.0375470455e-03,3.0126289498e-03,-3.8958056832e-07,-2.1779602702e-05,4.7187228158e-07,-1.5831591767e-09,-1.0195697873e-07,4.7202972330e-05,-1.7878319638e-04,-9.6660157682e-03,1.0312500000e-01
