z,u,v,θ,u2,v2,ε,uv,u2_sgs,v2_sgs,uv_sgs,u3_res,v3_res,p,σ
-1.8750000000e-01,7.2087403562e-03,-2.1300257166e-02,2.8312245562e+02,2.7685268500e-04,9.5151157107e-04,-1.6311311951e-06,5.2823401046e-07,9.7013989826e-07,9.8189671201e-06,5.2823401046e-07,4.3417533837e-06,-4.1574186262e-05,-6.1265623701e-04,3.0303030303e-03
-5.6250000000e-01,-2.9773468759e-03,-2.0970312400e-02,2.8312349141e+02,1.8621423215e-04,8.5177348490e-04,-1.3939800385e-06,-1.6724153919e-06,2.0525849273e-07,3.0771734869e-06,1.7986411087e-07,-1.8710416795e-06,-3.5517512213e-05,-1.3781876878e-03,9.0909090909e-03
-9.3750000000e-01,-3.8189436366e-03,-2.0745729850e-02,2.8312378313e+02,1.4338300067e-04,7.8829153449e-04,-7.0716167512e-07,-3.4365812525e-06,-4.1517201474e-08,1.1229951479e-06,7.7106033796e-08,-1.7591479471e-06,-3.1637427422e-05,-1.4616541615e-03,1.5151515152e-02
-1.3125000000e+00,-5.5366399286e-03,-2.0425657052e-02,2.8312402129e+02,1.4362661469e-04,7.3709437257e-04,-5.2131728132e-07,-4.8840700160e-06,-1.3139609321e-07,4.4181787736e-07,-7.2651495195e-09,-2.2012313772e-06,-2.8554486875e-05,-1.5851865436e-03,2.1212121212e-02
-1.6875000000e+00,-5.9658065648e-03,-2.0151132858e-02,2.8312416315e+02,1.3449778822e-04,6.9692301558e-04,-4.4277053929e-07,-6.2071744129e-06,-2.0917780326e-07,2.8860970874e-07,-4.8751252368e-08,-2.1159790610e-06,-2.6168486939e-05,-1.6237250740e-03,2.7272727273e-02
-2.0625000000e+00,-6.5767278974e-03,-1.9860961389e-02,2.8312427831e+02,1.3451889578e-04,6.6216636538e-04,-3.9294781796e-07,-7.3594236332e-06,-2.5497083623e-07,3.4358649685e-07,-5.7421749793e-08,-2.1906342323e-06,-2.4160915193e-05,-1.6674335144e-03,3.3333333333e-02
-2.4375000000e+00,-6.7746529184e-03,-1.9597556022e-02,2.8312436053e+02,1.3044033047e-04,6.3289052516e-04,-3.5380191745e-07,-8.4578922038e-06,-2.8366101502e-07,4.7549945966e-07,-4.7278093309e-08,-2.1215646112e-06,-2.2508046249e-05,-1.6874068131e-03,3.9393939394e-02
-2.8125000000e+00,-6.9926120983e-03,-1.9336973028e-02,2.8312442885e+02,1.2901799697e-04,6.0708661581e-04,-3.1745080028e-07,-9.4583939972e-06,-2.8838291484e-07,6.2462356704e-07,-2.7918039737e-08,-2.1003870827e-06,-2.1088422693e-05,-1.7062966027e-03,4.5454545455e-02
-3.1875000000e+00,-7.0439202139e-03,-1.9095716834e-02,2.8312448273e+02,1.2590913224e-04,5.8447586071e-04,-2.8588611247e-07,-1.0398672984e-05,-2.8284685373e-07,7.6525588069e-07,-6.0657810285e-09,-2.0292097584e-06,-1.9869274746e-05,-1.7164479500e-03,5.1515151515e-02
-3.5625000000e+00,-7.0899743798e-03,-1.8861291358e-02,2.8312452876e+02,1.2379475999e-04,5.6413717345e-04,-2.5796487785e-07,-1.1257824584e-05,-2.6887158194e-07,8.8187866831e-07,1.4119240046e-08,-1.9776592658e-06,-1.8798662955e-05,-1.7250926473e-03,5.7575757576e-02
-3.9375000000e+00,-7.0649580987e-03,-1.8642532367e-02,2.8312456755e+02,1.2107210964e-04,5.4591155030e-04,-2.3422617501e-07,-1.2052224102e-05,-2.5096726952e-07,9.7161783532e-07,3.2356610911e-08,-1.9095829727e-06,-1.7856601745e-05,-1.7300180425e-03,6.3636363636e-02
-4.3125000000e+00,-7.0372841281e-03,-1.8432897589e-02,2.8312460173e+02,1.1886677756e-04,5.2931896009e-04,-2.1374137131e-07,-1.2774009341e-05,-2.3116325345e-07,1.0344004027e-06,4.8665357848e-08,-1.8527314589e-06,-1.7015943666e-05,-1.7338933873e-03,6.9696969697e-02
-4.6875000000e+00,-6.9775368381e-03,-1.8235857743e-02,2.8312463182e+02,1.1647794911e-04,5.1416923406e-04,-1.9621874532e-07,-1.3438132568e-05,-2.1194065468e-07,1.0720736328e-06,6.2210763807e-08,-1.7910137361e-06,-1.6261993283e-05,-1.7359256797e-03,7.5757575758e-02
-5.0625000000e+00,-6.9165661968e-03,-1.8046353209e-02,2.8312465895e+02,1.1439965839e-04,5.0007953037e-04,-1.8116804584e-07,-1.4040799176e-05,-1.9320684332e-07,1.0858548040e-06,7.2659782683e-08,-1.7362699019e-06,-1.5572765204e-05,-1.7371981561e-03,8.1818181818e-02
-5.4375000000e+00,-6.8404210407e-03,-1.7867323103e-02,2.8312468330e+02,1.1231359666e-04,4.8699835769e-04,-1.6814461679e-07,-1.4590924931e-05,-1.7615084796e-07,1.0803193150e-06,8.0478471803e-08,-1.6810699809e-06,-1.4942394814e-05,-1.7374451267e-03,8.7878787879e-02
-5.8125000000e+00,-6.7653761137e-03,-1.7696177863e-02,2.8312470565e+02,1.1045586695e-04,4.7475023293e-04,-1.5671815118e-07,-1.5091239379e-05,-1.5984973465e-07,1.0590651885e-06,8.5255190802e-08,-1.6310605634e-06,-1.4360747496e-05,-1.7371925951e-03,9.3939393939e-02
-6.1875000000e+00,-6.6856221058e-03,-1.7532800971e-02,2.8312472629e+02,1.0867391830e-04,4.6323174769e-04,-1.4681190126e-07,-1.5546805233e-05,-1.4489895991e-07,1.0255920286e-06,8.7680852843e-08,-1.5828471442e-06,-1.3820769252e-05,-1.7363892729e-03,1.0000000000e-01
-6.5625000000e+00,-6.6091343187e-03,-1.7375949198e-02,2.8312474539e+02,1.0707725000e-04,4.5235441425e-04,-1.3802391895e-07,-1.5959886102e-05,-1.2967976711e-07,9.8118589102e-07,8.7489136654e-08,-1.5387391668e-06,-1.3317988880e-05,-1.7352821418e-03,1.0606060606e-01
-6.9375000000e+00,-6.5332189393e-03,-1.7227090882e-02,2.8312476322e+02,1.0560080672e-04,4.4211387004e-04,-1.3016103558e-07,-1.6335226623e-05,-1.1407849058e-07,9.3030075096e-07,8.4934895387e-08,-1.4976941489e-06,-1.2849118248e-05,-1.7338684762e-03,1.1212121212e-01
-7.3125000000e+00,-6.4620708118e-03,-1.7084576918e-02,2.8312477999e+02,1.0428768584e-04,4.3244284013e-04,-1.2308998013e-07,-1.6670932048e-05,-9.7997131163e-08,8.7525378421e-07,8.1597227179e-08,-1.4608046672e-06,-1.2410188887e-05,-1.7322775706e-03,1.1818181818e-01
-7.6875000000e+00,-6.3927443133e-03,-1.6948246536e-02,2.8312479579e+02,1.0305365000e-04,4.2330790918e-04,-1.1664999926e-07,-1.6970847718e-05,-8.1767772336e-08,8.1562810700e-07,7.8260988254e-08,-1.4267517682e-06,-1.1998969949e-05,-1.7305060395e-03,1.2424242424e-01
-8.0625000000e+00,-6.3271686471e-03,-1.6818112375e-02,2.8312481086e+02,1.0192328743e-04,4.1470025775e-04,-1.1075553070e-07,-1.7236136379e-05,-6.6466216268e-08,7.5505043638e-07,7.5297741051e-08,-1.3956979189e-06,-1.1614198496e-05,-1.7286252550e-03,1.3030303030e-01
-8.4375000000e+00,-6.2646606246e-03,-1.6694328939e-02,2.8312482515e+02,1.0087183007e-04,4.0659447791e-04,-1.0530159869e-07,-1.7470289843e-05,-5.1895987784e-08,6.9530363542e-07,7.1891851579e-08,-1.3668466306e-06,-1.1254674925e-05,-1.7266553650e-03,1.3636363636e-01
-8.8125000000e+00,-6.2076005573e-03,-1.6577148610e-02,2.8312483884e+02,9.9929583050e-05,3.9897815971e-04,-1.0026106692e-07,-1.7675404667e-05,-3.7414212575e-08,6.3716413895e-07,6.7695823058e-08,-1.3409549020e-06,-1.0919910730e-05,-1.7246489441e-03,1.4242424242e-01
-9.1875000000e+00,-6.1547638553e-03,-1.6465027353e-02,2.8312485192e+02,9.9086354551e-05,3.9177879408e-04,-9.5584149769e-08,-1.7853146655e-05,-2.3221081100e-08,5.8223226121e-07,6.3564458268e-08,-1.3176365374e-06,-1.0606672068e-05,-1.7226053461e-03,1.4848484848e-01
-9.5625000000e+00,-6.1077824838e-03,-1.6357375416e-02,2.8312486446e+02,9.8351445507e-05,3.8495720853e-04,-9.1172852744e-08,-1.8005353712e-05,-9.8136967039e-09,5.3002935318e-07,5.9782767703e-08,-1.2971372124e-06,-1.0312599121e-05,-1.7205587476e-03,1.5454545455e-01
-9.9375000000e+00,-6.0647932787e-03,-1.6254267717e-02,2.8312487649e+02,9.7693221679e-05,3.7849566316e-04,-8.7077452632e-08,-1.8134445393e-05,3.1824706215e-09,4.8055955423e-07,5.6293077504e-08,-1.2786370896e-06,-1.0036546969e-05,-1.7184996444e-03,1.6060606061e-01
-1.0312500000e+01,-6.0261537962e-03,-1.6154348829e-02,2.8312488804e+02,9.7112762176e-05,3.7230930558e-04,-8.3262618028e-08,-1.8241654520e-05,1.6249847427e-08,4.3344673244e-07,5.2871619979e-08,-1.2621643824e-06,-9.7745133114e-06,-1.7164412266e-03,1.6666666667e-01
-1.0687500000e+01,-5.9919766329e-03,-1.6057588115e-02,2.8312489908e+02,9.6608324333e-05,3.6641557573e-04,-7.9716600821e-08,-1.8329742450e-05,2.9389346795e-08,3.8954767763e-07,4.9461786324e-08,-1.2476921278e-06,-9.5274327259e-06,-1.7143924635e-03,1.7272727273e-01
-1.1062500000e+01,-5.9616228596e-03,-1.5963544805e-02,2.8312490974e+02,9.6160731197e-05,3.6078792821e-04,-7.6387911843e-08,-1.8399477806e-05,4.1449882417e-08,3.4911971486e-07,4.5890714735e-08,-1.2349034960e-06,-9.2939997525e-06,-1.7123570638e-03,1.7878787879e-01
-1.1437500000e+01,-5.9335940532e-03,-1.5872616774e-02,2.8312491993e+02,9.5746752223e-05,3.5543016364e-04,-7.3272839063e-08,-1.8452792061e-05,5.1908443743e-08,3.1194407052e-07,4.2095538268e-08,-1.2230115292e-06,-9.0736417184e-06,-1.7103322719e-03,1.8484848485e-01
-1.1812500000e+01,-5.9086542112e-03,-1.5785192325e-02,2.8312492975e+02,9.5360187385e-05,3.5032522180e-04,-7.0370881625e-08,-1.8491181874e-05,6.0968451797e-08,2.7860199000e-07,3.7880571374e-08,-1.2119822723e-06,-8.8651007769e-06,-1.7083297576e-03,1.9090909091e-01
-1.2187500000e+01,-5.8858215391e-03,-1.5700286711e-02,2.8312493916e+02,9.4985612351e-05,3.4543470048e-04,-6.7644035599e-08,-1.8514967447e-05,6.9045923229e-08,2.4834245537e-07,3.4100203140e-08,-1.2014049271e-06,-8.6668345815e-06,-1.7063488881e-03,1.9696969697e-01
-1.2562500000e+01,-5.8660047372e-03,-1.5617818929e-02,2.8312494820e+02,9.4635398316e-05,3.4074651040e-04,-6.5063357351e-08,-1.8525490501e-05,7.6658431959e-08,2.2110293453e-07,3.1092419800e-08,-1.1916806287e-06,-8.4780677872e-06,-1.7043987557e-03,2.0303030303e-01
-1.2937500000e+01,-5.8485555256e-03,-1.5537214903e-02,2.8312495679e+02,9.4296899721e-05,3.3623378886e-04,-6.2647886875e-08,-1.8523440879e-05,8.3378541634e-08,1.9696157275e-07,2.8444247641e-08,-1.1827707179e-06,-8.2975903977e-06,-1.7024774905e-03,2.0909090909e-01
-1.3312500000e+01,-5.8341060817e-03,-1.5458273684e-02,2.8312496505e+02,9.3976560280e-05,3.3188658938e-04,-6.0377453961e-08,-1.8509890166e-05,8.9279374524e-08,1.7504979286e-07,2.5961067265e-08,-1.1746933498e-06,-8.1249955258e-06,-1.7005920066e-03,2.1515151515e-01
-1.3687500000e+01,-5.8212727609e-03,-1.5381299569e-02,2.8312497298e+02,9.3672674474e-05,3.2770114692e-04,-5.8254815306e-08,-1.8486147478e-05,9.4451311949e-08,1.5559309738e-07,2.3577459637e-08,-1.1671027659e-06,-7.9602051558e-06,-1.6987376520e-03,2.2121212121e-01
-1.4062500000e+01,-5.8108406875e-03,-1.5305939795e-02,2.8312498057e+02,9.3402595193e-05,3.2364599696e-04,-5.6249439004e-08,-1.8452613428e-05,9.9189167191e-08,1.3815764014e-07,2.1629740469e-08,-1.1602039112e-06,-7.8018992225e-06,-1.6969196800e-03,2.2727272727e-01
-1.4437500000e+01,-5.8020915946e-03,-1.5232873162e-02,2.8312498792e+02,9.3153424848e-05,3.1975340965e-04,-5.4355942711e-08,-1.8410931161e-05,1.0327187981e-07,1.2255429997e-07,1.9956417888e-08,-1.1538934992e-06,-7.6513859091e-06,-1.6951356471e-03,2.3333333333e-01
-1.4812500000e+01,-5.7955921492e-03,-1.5161176556e-02,2.8312499502e+02,9.2934475810e-05,3.1600052790e-04,-5.2592045206e-08,-1.8361447107e-05,1.0698079828e-07,1.0848297862e-07,1.8139853473e-08,-1.1482498290e-06,-7.5078071142e-06,-1.6933857220e-03,2.3939393939e-01
-1.5187500000e+01,-5.7905076132e-03,-1.5091181348e-02,2.8312500174e+02,9.2740273212e-05,3.1239616208e-04,-5.0931519217e-08,-1.8304394517e-05,1.1071890407e-07,9.5285935914e-08,1.5890931042e-08,-1.1430869510e-06,-7.3711183631e-06,-1.6916651410e-03,2.4545454545e-01
-1.5562500000e+01,-5.7872107576e-03,-1.5022328678e-02,2.8312500815e+02,9.2553099872e-05,3.0891441749e-04,-4.9371223126e-08,-1.8240646732e-05,1.1401225814e-07,8.3790658833e-08,1.3025889410e-08,-1.1380985008e-06,-7.2400945507e-06,-1.6899744334e-03,2.5151515152e-01
-1.5937500000e+01,-5.7848323936e-03,-1.4954084128e-02,2.8312501433e+02,9.2365702114e-05,3.0551657474e-04,-4.7911590261e-08,-1.8170346968e-05,1.1704496858e-07,7.3593623818e-08,1.0003421563e-08,-1.1330981193e-06,-7.1130836844e-06,-1.6883096213e-03,2.5757575758e-01
-1.6312500000e+01,-5.7827787719e-03,-1.4886650043e-02,2.8312502028e+02,9.2175547810e-05,3.0220856960e-04,-4.6529833366e-08,-1.8093464297e-05,1.1973865068e-07,6.4262671613e-08,7.6096926524e-09,-1.1278907071e-06,-6.9903508873e-06,-1.6866666372e-03,2.6363636364e-01
-1.6687500000e+01,-5.7813179599e-03,-1.4820072392e-02,2.8312502600e+02,9.1983637190e-05,2.9899751976e-04,-4.5219749050e-08,-1.8010227545e-05,1.2162730121e-07,5.6310214115e-08,6.0594368065e-09,-1.1227768932e-06,-6.8720235759e-06,-1.6850429699e-03,2.6969696970e-01
