z,u,v,θ,u2,v2,ε,uv,u2_sgs,v2_sgs,uv_sgs,u3_res,v3_res,p,σ
-1.8750000000e-01,1.0261964873e-04,1.0672261611e-04,2.8298110749e+02,1.3159002630e-04,1.2922533334e-04,-1.0638469217e-07,-2.7432541563e-09,1.4320934887e-06,1.4768688145e-06,-2.7432541563e-09,5.8094691205e-08,3.0844927869e-08,-1.2962739203e-04,3.2051282051e-03
-5.6250000000e-01,1.0480378255e-04,1.0710185893e-04,2.8299449148e+02,1.1619476464e-04,1.1424439796e-04,-8.6275953651e-08,-4.9107985948e-09,6.2680303880e-07,6.3345873311e-07,-1.8087629334e-09,5.2930167119e-08,2.6435732156e-08,-1.3860540547e-04,9.6153846154e-03
-9.3750000000e-01,1.0747683052e-04,1.0967990114e-04,2.8299699268e+02,1.0634480042e-04,1.0459886096e-04,-6.0693140383e-08,-7.3864302893e-09,2.6013477558e-07,2.5698126035e-07,-2.3189920793e-09,4.9574904353e-08,2.4592618091e-08,-1.4647962505e-04,1.6025641026e-02
-1.3125000000e+00,1.1014154735e-04,1.1382016307e-04,2.8299965447e+02,9.8657566820e-05,9.7196196978e-05,-5.3571335564e-08,-9.1466301193e-09,7.6018954647e-08,6.9583753143e-08,-2.6506492656e-09,4.7137006628e-08,2.3885454837e-08,-1.5356678173e-04,2.2435897436e-02
-1.6875000000e+00,1.1134823105e-04,1.1959031701e-04,2.8300076855e+02,9.2355474662e-05,9.1153765578e-05,-5.0833087771e-08,-8.8251330424e-09,-5.5099028404e-09,-1.0827490238e-08,-2.6075296104e-09,4.4248439291e-08,2.3802398189e-08,-1.6028995146e-04,2.8846153846e-02
-2.0625000000e+00,1.1277064044e-04,1.2593625163e-04,2.8300188653e+02,8.7071134662e-05,8.6074419596e-05,-4.9213364545e-08,-9.6062988640e-09,-3.0778634301e-08,-3.2563971438e-08,-2.7148164133e-09,4.1536912873e-08,2.4206985575e-08,-1.6678537932e-04,3.5256410256e-02
-2.4375000000e+00,1.1359855235e-04,1.3185234850e-04,2.8300248069e+02,8.2610698027e-05,8.1774966442e-05,-4.7938378098e-08,-1.1637479005e-08,-2.8665010503e-08,-2.6794628827e-08,-2.4599697497e-09,3.9033386618e-08,2.4996696194e-08,-1.7306726739e-04,4.1666666667e-02
-2.8125000000e+00,1.1480704101e-04,1.3722104646e-04,2.8300305853e+02,7.8795610372e-05,7.8090554859e-05,-4.6915246044e-08,-1.4177364244e-08,-1.2423532718e-08,-7.8219758982e-09,-1.6060074607e-09,3.7188526592e-08,2.6099080382e-08,-1.7910189866e-04,4.8076923077e-02
-3.1875000000e+00,1.1553309801e-04,1.4055759857e-04,2.8300340902e+02,7.5531225648e-05,7.4908421401e-05,-4.6020058695e-08,-1.8347697467e-08,1.0671282781e-08,1.6598214551e-08,-6.8835472628e-10,3.5543719455e-08,2.6890067599e-08,-1.8485927755e-04,5.4487179487e-02
-3.5625000000e+00,1.1594543042e-04,1.4279576532e-04,2.8300374194e+02,7.2715925939e-05,7.2136939393e-05,-4.5167508776e-08,-2.3125200776e-08,3.5355205798e-08,4.2592928129e-08,-4.8834433950e-10,3.4062455306e-08,2.7565581697e-08,-1.9032236252e-04,6.0897435897e-02
-3.9375000000e+00,1.1579709457e-04,1.4407793990e-04,2.8300396533e+02,7.0278213213e-05,6.9725857413e-05,-4.4329229286e-08,-2.9299865316e-08,5.8547804890e-08,6.7948593937e-08,-1.2598354910e-09,3.2539825351e-08,2.7981347666e-08,-1.9548654528e-04,6.7307692308e-02
-4.3125000000e+00,1.1652922939e-04,1.4466036543e-04,2.8300417439e+02,6.8159596517e-05,6.7624966016e-05,-4.3560868881e-08,-3.5235844229e-08,7.8946173666e-08,9.0997790915e-08,-1.8723162667e-09,3.1297307370e-08,2.8088235953e-08,-2.0035496822e-04,7.3717948718e-02
-4.6875000000e+00,1.1700173803e-04,1.4417738733e-04,2.8300432652e+02,6.6317042656e-05,6.5788856621e-05,-4.2860666584e-08,-4.0324878761e-08,9.6400995725e-08,1.1017357355e-07,-1.7042343763e-09,3.0048872886e-08,2.7801879900e-08,-2.0493329993e-04,8.0128205128e-02
-5.0625000000e+00,1.1684594243e-04,1.4218085402e-04,2.8300446852e+02,6.4705917492e-05,6.4179448525e-05,-4.2246543898e-08,-4.4496851164e-08,1.1059610620e-07,1.2494050927e-07,-1.4811002266e-09,2.8549558414e-08,2.7162963397e-08,-2.0923004465e-04,8.6538461538e-02
-5.4375000000e+00,1.1613767270e-04,1.3955289107e-04,2.8300457957e+02,6.3278013703e-05,6.2757188335e-05,-4.1717158094e-08,-4.8394520514e-08,1.2137954969e-07,1.3632327943e-07,-1.4841954072e-09,2.7042742062e-08,2.6308431068e-08,-2.1325602387e-04,9.2948717949e-02
-5.8125000000e+00,1.1496357108e-04,1.3588265993e-04,2.8300468334e+02,6.1993411881e-05,6.1508402094e-05,-4.1323860608e-08,-5.2404873436e-08,1.2890655780e-07,1.4350094889e-07,-1.5803526556e-09,2.5423037936e-08,2.4997440763e-08,-2.1702532554e-04,9.9358974359e-02
-6.1875000000e+00,1.1396015020e-04,1.3200411954e-04,2.8300476952e+02,6.0843177955e-05,6.0394826300e-05,-4.1049760757e-08,-5.6184045789e-08,1.3429364715e-07,1.4706931699e-07,-1.7287480098e-09,2.3934962990e-08,2.3609483377e-08,-2.2055005108e-04,1.0576923077e-01
-6.5625000000e+00,1.1194806332e-04,1.2841829638e-04,2.8300485055e+02,5.9818203022e-05,5.9400309742e-05,-4.0815018040e-08,-5.9026081287e-08,1.3811414416e-07,1.4741165704e-07,-1.9000698218e-09,2.2158161767e-08,2.2259706830e-08,-2.2384298228e-04,1.1217948718e-01
-6.9375000000e+00,1.0945166118e-04,1.2509050047e-04,2.8300492089e+02,5.8894463707e-05,5.8506815262e-05,-4.0645024682e-08,-6.1067736524e-08,1.3953329754e-07,1.4567922327e-07,-2.0276272162e-09,2.0366318185e-08,2.0995392836e-08,-2.2691684542e-04,1.1858974359e-01
-7.3125000000e+00,1.0625980145e-04,1.2176339350e-04,2.8300498676e+02,5.8059067514e-05,5.7694581889e-05,-4.0521113204e-08,-6.2879311034e-08,1.3864852834e-07,1.4295526885e-07,-2.4082608690e-09,1.8719541158e-08,1.9950454102e-08,-2.2978302899e-04,1.2500000000e-01
-7.6875000000e+00,1.0190554377e-04,1.1917659698e-04,2.8300504552e+02,5.7305057686e-05,5.6963881008e-05,-4.0419717533e-08,-6.4972717910e-08,1.3576039841e-07,1.3937163055e-07,-3.0461632400e-09,1.7023127126e-08,1.9335923235e-08,-2.3245320650e-04,1.3141025641e-01
-8.0625000000e+00,9.6710164504e-05,1.1718802992e-04,2.8300510071e+02,5.6633836544e-05,5.6310558935e-05,-4.0344618686e-08,-6.6649073920e-08,1.3220922315e-07,1.3574319242e-07,-3.4604660593e-09,1.5515364380e-08,1.9018752497e-08,-2.3493465877e-04,1.3782051282e-01
-8.4375000000e+00,9.1339132397e-05,1.1632427318e-04,2.8300515086e+02,5.6040149157e-05,5.5723556269e-05,-4.0270710969e-08,-6.7689623644e-08,1.2854660739e-07,1.3161419849e-07,-3.5999599794e-09,1.4223961537e-08,1.8921169376e-08,-2.3723655127e-04,1.4423076923e-01
-8.8125000000e+00,8.5666968332e-05,1.1579176474e-04,2.8300519771e+02,5.5505488512e-05,5.5192526710e-05,-4.0189804546e-08,-6.9179487896e-08,1.2538397128e-07,1.2692656385e-07,-3.5985274983e-09,1.2937066357e-08,1.8871238400e-08,-2.3936693914e-04,1.5064102564e-01
-9.1875000000e+00,7.9868350480e-05,1.1546011734e-04,2.8300524066e+02,5.5026269721e-05,5.4702630778e-05,-4.0093536235e-08,-7.1430784756e-08,1.2261367572e-07,1.2247885152e-07,-3.6257773951e-09,1.1910743852e-08,1.8701913708e-08,-2.4133178143e-04,1.5705128205e-01
-9.5625000000e+00,7.3384051408e-05,1.1498323965e-04,2.8300528104e+02,5.4592365722e-05,5.4266352422e-05,-3.9994715861e-08,-7.4183196021e-08,1.1918294583e-07,1.1837789491e-07,-3.6640601843e-09,1.0809360847e-08,1.8500635447e-08,-2.4313908266e-04,1.6346153846e-01
